domain,Job Links,confidence,method,Unnamed: 4,Unnamed: 5,Unnamed: 6,Not found
https://mealtech.in,,0.0,not-found,,,,
https://cellpropulsion.com,,0.0,not-found,,,,
https://kineticgreen.com,,0.0,not-found,,,,
https://www.aerem.co,https://www.aerem.co/careers,0.7,direct-path:url-hint,,,,
https://www.everacabs.com,,0.0,not-found,,,,
https://www.cropin.com,https://www.cropin.com/careers,0.8,direct-path:url-hint,,,,
https://www.skymetweather.com,https://www.skymetweather.com/careers,0.7,direct-path:url-hint,,,,
https://www.serenticaglobal.com,,0.0,not-found,,,,
https://www.ai-genix.net,,0.0,not-found,,,,
https://www.kabiramobility.com,,0.0,not-found,,,,
https://slicc.in,,0.0,not-found,,,,
https://proeon.co,https://proeon.co/careers,0.75,direct-path:url-hint,,,,
https://www.climatexcapital.com,,0.0,not-found,,,,
https://www.clearmeat.com,https://www.clearmeat.com/join-us/,0.7,direct-path:url-hint,,,,
https://basepfoods.com,,0.0,not-found,,,,
https://loopworm.in,,0.0,not-found,,,,
https://www.xmachines.ai,https://www.xmachines.ai/careers,0.75,direct-path:url-hint,,,,
https://animall.in,https://animall.in/careers,0.7,direct-path:url-hint,,,,
https://www.solarsquare.in,https://www.solarsquare.in/careers,0.7,direct-path:url-hint,,,,
https://www.statiq.in,https://www.statiq.in/careers,0.7,direct-path:url-hint,,,,
https://www.mooving.com,,0.0,not-found,,,,
https://www.greenjoules.in,,0.0,not-found,,,,
https://takachar.com,https://takachar.com/career/,0.8,nav-scan:url-hint,,,,
https://electrifimobility.com,,0.0,not-found,,,,
https://www.ecozensolutions.com,https://ecozensolutions.darwinbox.in/ms/candidate/candidate/login?redirect=%2Fms%2Fcandidate%2Fcareers%2Fa685bbd92a84dc___apply%3D1,0.9,direct-path:url-hint,,,,
http://airoktech.com,,0.0,not-found,,,,
https://myplan8.earth,https://myplan8.earth/careers,0.8,direct-path:url-hint,,,,
http://www.detecttechnologies.com,http://www.detecttechnologies.com/careers,0.8,direct-path:url-hint,,,,
https://eatprot.com,,0.0,not-found,,,,
http://www.ageyetech.com,http://www.ageyetech.com/careers,0.7,direct-path:url-hint,,,,
https://www.clairco.in,https://www.clairco.in/careers,0.75,direct-path:url-hint,,,,
https://apeiroenergy.com,,0.0,not-found,,,,
https://www.myoworks.in,,0.0,not-found,,,,
https://www.funnynani.com,https://www.funnynani.com/jobs,0.7,direct-path:url-hint,,,,
https://oatey.in,,0.0,not-found,,,,
http://kamalkisan.com,,0.0,not-found,,,,
https://www.ishitva.in,https://www.ishitva.in/careers,0.8,direct-path:url-hint,,,,
https://sentra.world,https://sentra.world/careers,0.8,direct-path:url-hint,,,,
https://neatmeatt.in,,0.0,not-found,,,,
https://piatrika.com,https://piatrika.com/careers,0.8,direct-path:url-hint,,,,
http://briyas.com,http://briyas.com/careers,0.7,direct-path:url-hint,,,,
https://www.supplantfoods.com,,0.0,not-found,,,,
http://rtbi.in,,0.0,not-found,,,,
https://www.varaha.earth,https://www.varaha.earth/careers,0.7,direct-path:url-hint,,,,
https://www.solarladder.com,https://www.solarladder.com/careers,0.7,direct-path:url-hint,,,,
https://www.galaxeye.space,https://galaxeye.zohorecruit.in/careers,0.7,nav-scan:url-hint,,,,
https://www.jivoule.com,,0.0,not-found,,,,
https://www.hycosys.in,,0.0,not-found,,,,
http://demolishfoods.com,,0.0,not-found,,,,
https://laurus.bio,,0.0,not-found,,,,
https://www.zasti.ai,https://zasti.ai/career/,0.7,nav-scan:url-hint,,,,
https://www.bluetribefoods.com,,0.0,not-found,,,,
https://www.superplum.com,https://superplum.keka.com/careers,0.95,nav-scan:ats-url,,,,
https://www.strive.store,,0.0,not-found,,,,
https://www.yulu.bike,https://www.yulu.bike/careers,0.7,direct-path:url-hint,,,,
https://www.farmart.co,,0.0,not-found,,,,
https://evofoods.in,,0.0,not-found,,,,
https://www.plantelo.in,,0.0,not-found,,,,
https://greencellmobility.com,https://greencellmobility.com/careers,0.7,direct-path:url-hint,,,,
https://www.tekuncorked.com,https://www.tekuncorked.com/careers,0.7,direct-path:url-hint,,,,
https://www.bambrew.in,https://www.bambrew.in/jobs,0.7,direct-path:url-hint,,,,
https://nutrifresh.co.in,,0.0,not-found,,,,
https://www.stringbio.com,https://www.stringbio.com/life-at-string.html#careers,0.7,nav-scan:url-hint,,,,
https://www.climes.io,,0.0,not-found,,,,
https://www.imaginemeats.com,,0.0,not-found,,,,
https://www.hrimtronenergy.com,,0.0,not-found,,,,
https://www.nutriquofoods.com,,0.0,not-found,,,,
https://www.kheyti.com,,0.0,not-found,,,,
https://esmito.co.in,,0.0,not-found,,,,
https://www.turno.club,https://turno.keka.com/careers,0.9,direct-path:url-hint,,,,
https://www.piperleaf.in,,0.0,not-found,,,,
https://www.hygenco.in,https://www.hygenco.in/careers,0.7,direct-path:url-hint,,,,
https://bijak.in,https://bijak.in/careers,0.7,direct-path:url-hint,,,,
https://www.olaelectric.com,https://www.olaelectric.com/careers,0.8,direct-path:url-hint,,,,
https://www.qzense.com,,0.0,not-found,,,,
https://www.altm.bio,,0.0,not-found,,,,
https://www.infictionlabs.com,,0.0,not-found,,,,
https://www.oatsup.in,,0.0,not-found,,,,
https://ayekart.com,https://ayekart.com/careers,0.8,direct-path:url-hint,,,,
https://www.pixxel.space,https://pixxel.darwinbox.in/ms/candidate/careers,0.9,direct-path:url-hint,,,,
https://themightyfood.com,,0.0,not-found,,,,
https://chuk.in,,0.0,not-found,,,,
https://fermbox.bio,https://fermbox.bio/careers,0.8,direct-path:url-hint,,,,
https://recommercex.com,https://recommercex.com/careers,0.8,direct-path:url-hint,,,,
http://veganta.in,,0.0,not-found,,,,
https://www.harvestedlabs.com,,0.0,not-found,,,,
https://www.sys3e.com,,0.0,not-found,,,,
https://viomamotors.com,,0.0,not-found,,,,
https://axiafood.com,,0.0,not-found,,,,
https://www.binbag.in,https://www.binbag.in/careers,0.7,direct-path:url-hint,,,,
https://www.plantveda.com,,0.0,not-found,,,,
https://www.terrabioware.co,,0.0,not-found,,,,
https://agnext.com,https://agnext.com/careers,0.7,direct-path:url-hint,,,,
https://obenelectric.com,https://obenelectric.com/careers,0.7,direct-path:url-hint,,,,
https://moeving.com,https://moeving.com/join-us,0.8,direct-path:url-hint,,,,
https://www.entuplemobility.com,,0.0,not-found,,,,
https://www.faunatechsolutions.com,https://www.faunatechsolutions.com/company/careers,0.7,direct-path:url-hint,,,,
https://freespirits.in,,0.0,not-found,,,,
https://milkinoats.com,https://milkinoats.com/careers,0.7,direct-path:url-hint,,,,
https://www.xyma.in,https://www.xyma.in/careers,0.7,direct-path:url-hint,,,,
https://www.progofoods.com,,0.0,not-found,,,,
http://www.katharosfoods.com,,0.0,not-found,,,,
https://www.sea6energy.com,,0.0,not-found,,,,
https://www.oatmlk.in,,0.0,not-found,,,,
https://sprouteins.com,,0.0,not-found,,,,
https://poshn.co,https://www.thehindubusinessline.com/economy/agri-business/unlocking-opportunities-for-farmers-how-agri-trade-start-ups-are-revolutionising-market-access/article67187643.ece,0.7,nav-scan:url-hint,,,,
https://oorja.energy,https://oorja.energy/careers,0.8,direct-path:url-hint,,,,
https://www.simpleenergy.in,,0.0,not-found,,,,
https://eatwithbetter.com,,0.0,not-found,,,,
https://aqin.in,,0.0,not-found,,,,
https://www.pureev.in,https://www.pureev.in/careers,0.7,direct-path:url-hint,,,,
https://www.sunfuelelectric.com,,0.0,not-found,,,,
https://agrifi.ai,https://agrifi.ai/careers,0.7,direct-path:url-hint,,,,
https://www.tataconsumer.com,https://www.tataconsumer.com/people/careers-for-professionals,0.8,nav-scan:url-hint,,,,
https://www.femtofarad.com,,0.0,not-found,,,,
https://sheru.se,,0.0,not-found,,,,
https://greenestfoods.com,,0.0,not-found,,,,
https://www.batterysmart.in,https://www.batterysmart.in/careers,0.8,direct-path:url-hint,,,,
https://strawcture.com,https://strawcture.com/careers,0.8,direct-path:url-hint,,,,
https://www.bvegfoods.com,,0.0,not-found,,,,
https://www.carboncraftdesign.com,https://www.carboncraftdesign.com/careers,0.7,direct-path:url-hint,,,,
https://agromaticfoods.com,,0.0,not-found,,,,
https://cerclex.com,https://cerclex.com/careers,0.7,direct-path:url-hint,,,,
https://navitassolar.in,https://navitassolar.in/work-with-us,0.8,direct-path:url-hint,,,,
https://www.banyannation.com,https://www.banyannation.com/careers,0.8,direct-path:url-hint,,,,
https://www.hacklab.solutions,,0.0,not-found,,,,
https://www.bgauss.com,,0.0,not-found,,,,
https://www.dharaksha.com,https://www.dharaksha.com/about/careers,0.7,direct-path:url-hint,,,,
https://altfoods.in,,0.0,not-found,,,,
https://chakr.in,,0.0,not-found,,,,
https://carragreen.com,,0.0,not-found,,,,
https://www.sainworld.com,,0.0,not-found,,,,
https://www.devic-earth.com,https://www.devic-earth.com/careers,0.7,direct-path:url-hint,,,,
https://www.biokraftfoods.com,,0.0,not-found,,,,
https://www.skyware.in,,0.0,not-found,,,,
https://www.intellolabs.com,https://www.intellolabs.com/careers,0.8,direct-path:url-hint,,,,
https://www.edgegrid.com,https://linkedin.com/company/edgegrid,0.8,nav-scan:many-jobish-links,,,,
https://www.linkedin.com,https://www.linkedin.com/careers,0.8,direct-path:url-hint,,,,
https://devigerebiosolutions.in,,0.0,not-found,,,,
https://fasal.co,,0.0,not-found,,,,
https://www.kisankonnect.in,https://www.kisankonnect.in/careers,0.7,direct-path:url-hint,,,,
https://www.urbankisaan.com,https://www.urbankisaan.com/careers,0.7,direct-path:url-hint,,,,
https://www.arya.ag,https://www.arya.ag/careers,0.7,direct-path:url-hint,,,,
https://1ness.in,,0.0,not-found,,,,
https://alt.company,,0.0,not-found,,,,
https://www.grinntech.com,https://www.grinntech.com/career,0.8,nav-scan:url-hint,,,,
https://www.a2penergy.com,https://www.a2penergy.com/careers,0.8,direct-path:url-hint,,,,
https://creatara.com,,0.0,not-found,,,,
https://www.rideriver.com,https://www.rideriver.com/careers,0.8,direct-path:url-hint,,,,
https://flowtrik.com,,0.0,not-found,,,,
https://www.thevegh.com,https://www.thevegh.com/career,0.8,nav-scan:url-hint,,,,
https://zerocowfactory.com,,0.0,not-found,,,,
https://sites.google.com,https://sites.google.com/about/careers,0.7,direct-path:url-hint,,,,
https://www.eyerov.com,https://www.eyerov.com/company/careers,0.8,direct-path:url-hint,,,,
https://www.mfpindia.in,https://mfpindia.in/career/,0.7,nav-scan:url-hint,,,,
https://www.retufoods.com,,0.0,not-found,,,,
https://www.godienergy.com,,0.0,not-found,,,,
https://unrealmilk.com,,0.0,not-found,,,,
https://www.ultraviolette.com,,0.0,not-found,,,,
http://www.billionmobility.com,,0.0,not-found,,,,
https://freyrenergy.com,https://freyrenergy.com/freyr-energy-careers/,0.9,nav-scan:url-hint,,,,
http://www.minionlabs.tech,,0.0,not-found,,,,
https://www.polycycl.com,,0.0,not-found,,,,
https://wakaofoods.com,https://wakaofoods.com/pages/career,0.7,nav-scan:url-hint,,,,
https://navaltboats.com,https://navaltboats.com/careers,0.8,direct-path:url-hint,,,,
https://www.cygni.com,https://cygni.keka.com/careers/,0.95,nav-scan:ats-url,,,,
https://nomou.in,,0.0,not-found,,,,
https://sudofoods.com,,0.0,not-found,,,,
https://www.naturedots.com,https://www.naturedots.com/careers,0.7,direct-path:url-hint,,,,
https://fibmold.com,https://fibmold.com/#joinus,0.7,nav-scan:url-hint,,,,
http://www.bioprimeagri.com,http://www.bioprimeagri.com/careers,0.8,direct-path:url-hint,,,,
https://dancingcow.in,,0.0,not-found,,,,
https://www.shakaharry.com,,0.0,not-found,,,,
https://recykal.com,https://recykal.com/careers,0.8,direct-path:url-hint,,,,
https://agrim.app,https://agrim.zohorecruit.in/jobs/Careers,0.7,nav-scan:url-hint,,,,
http://carbonmasters.co.uk,http://carbonmasters.co.uk/vacancies,0.7,direct-path:url-hint,,,,
https://impostermeat.com,,0.0,not-found,,,,
https://www.billioncarbon.com,,0.0,not-found,,,,
https://www.angirusind.com,https://www.angirusind.com/careers.php,0.8,nav-scan:url-hint,,,,
https://pfcfoods.in,https://pfcfoods.in/pages/career,0.7,nav-scan:url-hint,,,,
https://www.getambee.com,https://www.getambee.com/careers,0.8,direct-path:url-hint,,,,
http://www.freshnsafe.in,,0.0,not-found,,,,
https://praan.io,https://praan.io/careers,0.8,direct-path:url-hint,,,,
http://www.ohveg.in,,0.0,not-found,,,,
https://niqorobotics.com,https://niqorobotics.com/careers,0.8,direct-path:url-hint,,,,
https://altmat.in,,0.0,not-found,,,,
https://lcmloopchargingmod.wixsite.com,,0.0,not-found,,,,
https://www.baaz.bike,,0.0,not-found,,,,
https://www.zerocircle.in,,0.0,not-found,,,,
https://smartjoules.co.in,https://smartjoules.co.in/careers,0.7,direct-path:url-hint,,,,
https://freshwoof.com,,0.0,not-found,,,,
https://blueplanet.asia,https://blueplanet.asia/careers,0.7,direct-path:url-hint,,,,
https://blu-smart.com,https://blu-smart.com/careers,0.7,direct-path:url-hint,,,,
https://www.linkedin.com,https://www.linkedin.com/careers,0.8,direct-path:url-hint,,,,
https://www.evolvedfoods.in,,0.0,not-found,,,,
https://www.satsure.co,,0.0,not-found,,,,
https://aquaconnect.blue,https://aquaconnect.blue/careers.html,0.8,nav-scan:url-hint,,,,
https://www.scimplify.com,https://www.scimplify.com/careers,0.8,direct-path:url-hint,,,,
https://www.loomsolar.com,https://www.zeebiz.com/small-business/news-rs-100-million-investment-this-startup-has-launched-efficient-solar-panels-gears-up-to-create-over-200-job-opportunities-163709,0.8,nav-scan:url-hint,,,,
https://www.emotorad.com,https://www.emotorad.com/careers,0.7,direct-path:url-hint,,,,
https://www.nutriquofoods.com,,0.0,not-found,,,,
http://www.justdigin.in,http://www.justdigin.in/careers,0.8,direct-path:url-hint,,,,
https://goodmylk.in,,0.0,not-found,,,,
https://www.emoenergy.in,,0.0,not-found,,,,
https://agrizy.in,https://agrizy.in/careers,0.7,direct-path:url-hint,,,,
https://www.plantmade.in,,0.0,not-found,,,,
https://www.ossusbio.com,https://www.ossusbio.com/careers,0.7,direct-path:url-hint,,,,
https://bombaycheesecompany.com,,0.0,not-found,,,,
https://agrevolution.in,https://agrevolution.in/careers,0.7,direct-path:url-hint,,,,
https://indienergy.in,https://indienergy.in/careers,0.8,direct-path:url-hint,,,,
https://www.lohum.com,https://lohum.com/career/,0.8,nav-scan:url-hint,,,,
https://zyngo.co.in,https://zyngo.co.in/career.html,0.8,nav-scan:url-hint,,,,
https://www.vayujal.com,https://www.vayujal.com/careers,0.8,direct-path:url-hint,,,,
https://www.matter.in,,0.0,not-found,,,,
https://climeto.com,,0.0,not-found,,,,
https://echargeup.com,,0.0,not-found,,,,
https://electricpe.com,https://electricpe.com/careers,0.8,direct-path:url-hint,,,,
https://getoffgrid.energy,,0.0,not-found,,,,
https://zypp.app,https://zypp.app/careers,0.8,direct-path:url-hint,,,,
https://maximl.com,https://maximl.com/careers,0.8,direct-path:url-hint,,,,
https://www.freshbus.com,,0.0,not-found,,,,
https://www.promeat.in,https://www.promeat.in/careers,0.7,direct-path:url-hint,,,,
https://gooddot.in,,0.0,not-found,,,,
https://www.fynmobility.com,https://www.fynmobility.com/job-openings/,0.8,nav-scan:url-hint,,,,
https://www.soilsens.com,,0.0,not-found,,,,
https://fyllo.in,https://fyllo.in/careers,0.7,direct-path:url-hint,,,,
https://myonlyearth.com,,0.0,not-found,,,,
http://www.plantishfoods.com,http://www.plantishfoods.com/careers,0.7,direct-path:url-hint,,,,
https://ecoprotein.godaddysites.com,,0.0,not-found,,,,
https://www.rethinkbio.in,,0.0,not-found,,,,
https://tan90thermal.com,,0.0,not-found,,,,
https://bolt.earth,https://bolt.earth/careers,0.7,direct-path:url-hint,,,,
https://www.goegonetwork.com,,0.0,not-found,,,,
https://eeki.com,https://eeki.com/careers,0.7,direct-path:url-hint,,,,
https://www.magentamobility.com,https://www.magentamobility.com/careers,0.7,direct-path:url-hint,,,,
https://thelivinggreens.com,,0.0,not-found,,,,
https://aereo.io,https://aereo.io/careers,0.8,direct-path:url-hint,,,,
https://grabenord.com,,0.0,not-found,,,,
https://www.newtrace.io,https://www.newtrace.io/careers,0.8,direct-path:url-hint,,,,
https://lifehealthfoods.co.in,,0.0,not-found,,,,
https://www.fabheads.in,https://www.fabheads.in/careers,0.8,direct-path:url-hint,,,,
https://www.thegreenmeat.com,https://www.thegreenmeat.com/careers,0.7,direct-path:url-hint,,,,
https://bounceinfinity.com,,0.0,not-found,,,,
https://www.prozealgreen.com,https://www.prozealgreen.com/careers,0.8,direct-path:url-hint,,,,
https://www.atherenergy.com,,0.0,not-found,,,,
https://igrenenergi.com,,0.0,not-found,,,,
https://www.neuronenergy.in,https://www.neuronenergy.in/career,0.7,nav-scan:url-hint,,,,
https://klevermeat.com,,0.0,not-found,,,,
https://www.metastable.in,https://www.metastable.in/careers,0.8,direct-path:url-hint,,,,
https://softspotfoods.com,,0.0,not-found,,,,
https://atomberg.com,https://atomberg.com/careers,0.7,direct-path:url-hint,,,,
https://oorja.energy,https://oorja.energy/careers,0.8,direct-path:url-hint,,,,
https://www.phyx44.com,,0.0,not-found,,,,
https://www.dumpinbin.com,https://www.dumpinbin.com/careers,0.7,direct-path:url-hint,,,,
https://impacto.eco,,0.0,not-found,,,,
https://www.alt-mobility.com,,0.0,not-found,,,,
https://www.chargezone.co.in,https://www.chargezone.co.in//career#culture,0.8,nav-scan:url-hint,,,,
https://uncompromised.in,https://uncompromised.in/careers,0.7,direct-path:url-hint,,,,
http://www.sirohi.org,,0.0,not-found,,,,
https://biome.build,https://biome.build/careers,0.7,direct-path:url-hint,,,,
https://everestfleet.com,https://everestfleet.com/career/,0.8,nav-scan:url-hint,,,,
https://mypickup.in,https://mypickup.in/careers,0.7,direct-path:url-hint,,,,
http://demitasse.tech,http://demitasse.tech/careers,0.7,direct-path:url-hint,,,,
https://www.patersonenergy.com,,0.0,not-found,,,,
https://hydriumenergy.com,https://hydriumenergy.com/careers,0.7,direct-path:url-hint,,,,
https://www.esamarp.com,https://www.esamarp.com/careers,0.7,direct-path:url-hint,,,,
https://www.mainirenewables.com,https://www.mainirenewables.com/about/careers,0.7,direct-path:url-hint,,,,
https://www.climatexcapital.com,,0.0,not-found,,,,
https://www.vsrienergy.com,https://www.vsrienergy.com/career,0.7,nav-scan:url-hint,,,,
https://helloboon.com,,0.0,not-found,,,,
https://zeroearth.company,,0.0,not-found,,,,
https://ecklien4ras.com,,0.0,not-found,,,,
https://visarj.in,,0.0,not-found,,,,
https://www.nbcframework.io,,0.0,not-found,,,,
https://wankel.in,https://wankel.in/careers,0.7,direct-path:url-hint,,,,
https://www.bhaskaraengg.com,,0.0,not-found,,,,
https://www.shaktiphotonsolutions.com,,0.0,not-found,,,,
https://www.igowise.com,,0.0,not-found,,,,
https://biosky.tech,,0.0,not-found,,,,
https://www.aatral-esp.com,,0.0,not-found,,,,
https://www.evayve.com,https://www.evayve.com/career,0.8,nav-scan:url-hint,,,,
http://smdp.in,,0.0,not-found,,,,
https://www.280carbon.com,https://www.280carbon.com/careers,0.7,direct-path:url-hint,,,,
https://tamirabot.com,,0.0,not-found,,,,
https://www.sirinor.com,,0.0,not-found,,,,
https://hbaromega.com,,0.0,not-found,,,,
https://austhraa.com,https://austhraa.com/career/,0.8,nav-scan:url-hint,,,,
https://www.susstains.com,,0.0,not-found,,,,
https://www.hivericks.com,,0.0,not-found,,,,
https://www.ambiator.com,,0.0,not-found,,,,
https://wararenergy.com,,0.0,not-found,,,,
https://www.quilltechno.com,,0.0,not-found,,,,
https://hypersonics.in,,0.0,not-found,,,,
https://www.northstarimpactsolution.com,,0.0,not-found,,,,
https://www.energyeta.ai,,0.0,not-found,,,,
https://www.rangbio.com,,0.0,not-found,,,,
https://thaalinnovations.com,https://thaalinnovations.com/careers,0.7,direct-path:url-hint,,,,
https://scrapifyecotech.in,https://scrapifyecotech.in/#career,0.7,nav-scan:url-hint,,,,
https://www.diffuson.in,,0.0,not-found,,,,
http://www.blackrhinoz.com,,0.0,not-found,,,,
https://evatetech.com,,0.0,not-found,,,,
https://kids.metroride.com,,0.0,not-found,,,,
https://www.vapac.in,,0.0,not-found,,,,
https://carboncompete.com,,0.0,not-found,,,,
https://www.bacuticorp.com,,0.0,not-found,,,,
https://www.vcravefoods.com,https://www.vcravefoods.com/careers,0.7,direct-path:url-hint,,,,
https://www.mati.earth,https://www.mati.earth/careers,0.7,direct-path:url-hint,,,,
https://eunoiainnovations.in,https://eunoiainnovations.in/careers,0.7,direct-path:url-hint,,,,
https://greenjams.org,,0.0,not-found,,,,
https://www.plentifarms.com,https://www.plentifarms.com/careers,0.7,direct-path:url-hint,,,,
https://www.earthworks.bio,,0.0,not-found,,,,
https://www.licircle.com,,0.0,not-found,,,,
https://kaashyapenvergy.com,,0.0,not-found,,,,
https://www.almericus.in,,0.0,not-found,,,,
https://greenie-energy.com,,0.0,not-found,,,,
https://www.mittilabs.earth,,0.0,not-found,,,,
https://www.nstscrap.com,,0.0,not-found,,,,
https://www.greengine.co.in,https://www.greengine.co.in/careers,0.8,direct-path:url-hint,,,,
https://biofizzag.com,,0.0,not-found,,,,
https://vyoumbiotech.com,,0.0,not-found,,,,
https://www.gpsrenewables.com,https://www.gpsrenewables.com/careers,0.8,direct-path:url-hint,,,,
https://fambo.in,,0.0,not-found,,,,
https://ingressbio.com,,0.0,not-found,,,,
https://www.innocule.com,https://www.innocule.com/careers,0.7,direct-path:url-hint,,,,
https://www.earthanalyticalab.com,,0.0,not-found,,,,
https://tracextech.com,,0.0,not-found,,,,
http://www.agriwyz.com,https://agriwyz.com/career/,0.7,nav-scan:url-hint,,,,
https://www.agrokisan.com,,0.0,not-found,,,,
https://www.chloropod.com,,0.0,not-found,,,,
https://www.agarambiotech.in,,0.0,not-found,,,,
https://generalaeronautics.com,https://generalaeronautics.com/career-ga/,0.8,nav-scan:url-hint,,,,
https://prithu.earth,,0.0,not-found,,,,
https://www.nexuspower.in,https://www.nexuspower.in/careers,0.7,direct-path:url-hint,,,,
https://www.renewcred.com,,0.0,not-found,,,,
https://www.destinycropcare.in,,0.0,not-found,,,,
https://bacalt.bio,,0.0,not-found,,,,
https://gatidrives.com,,0.0,not-found,,,,
https://www.albatross-energetics.in,,0.0,not-found,,,,
https://www.cancrie.co,https://www.cancrie.co/about/careers,0.7,direct-path:url-hint,,,,
https://www.baudresources.com,,0.0,not-found,,,,
https://thooshan.com,,0.0,not-found,,,,
https://bettercar.vercel.app,https://bettercar.vercel.app/careers,0.7,direct-path:url-hint,,,,
https://hydrovert.in,,0.0,not-found,,,,
https://www.buymyev.in,,0.0,not-found,,,,
https://agroxa.in,,0.0,not-found,,,,
https://proleri.com,,0.0,not-found,,,,
https://shivchhayabiotech.com,,0.0,not-found,,,,
https://www.vidyuttech.in,https://www.vidyuttech.in/careers,0.7,direct-path:url-hint,,,,
https://m-mines.com,https://m-mines.com/e-gov-opportunities-and-challenges-in-sustainable-battery-recycling/,0.8,nav-scan:url-hint,,,,
https://neoperk.co,,0.0,not-found,,,,
https://ecoterrabiodesign.com,,0.0,not-found,,,,
https://www.cellarim.com,,0.0,not-found,,,,
https://www.thermistance.com,,0.0,not-found,,,,
https://oorjasolutions.org,https://oorjasolutions.org/careers,0.8,direct-path:url-hint,,,,
https://repurpose.global,https://repurpose.global/careers,0.75,direct-path:url-hint,,,,
https://plantables.store,,0.0,not-found,,,,
https://zewafeeds.com,,0.0,not-found,,,,
https://cargofirst.net,,0.0,not-found,,,,
https://www.refillable.store,,0.0,not-found,,,,
https://www.growindigo.co.in,https://www.growindigo.co.in/careers,0.8,direct-path:url-hint,,,,
https://switchclimatetech.com,https://switchclimatetech.com/careers,0.8,direct-path:url-hint,,,,
https://boomitra.com,https://boomitra.com/careers,0.8,direct-path:url-hint,,,,
https://deyhaat.com,,0.0,not-found,,,,
https://biomfarms.com,,0.0,not-found,,,,
https://sensegrass.com,https://sensegrass.com/careers,0.7,direct-path:url-hint,,,,
https://nunam.com,https://nunam.com/careers,0.8,direct-path:url-hint,,,,
https://waycool.in,,0.0,not-found,,,,
https://www.pmielectro.com,,0.0,not-found,,,,
https://deepfleet.com,https://jobs.deepfleet.com/,0.7,nav-scan:url-hint,,,,
https://www.attero.in,https://www.attero.in/jobs,0.7,direct-path:url-hint,,,,
https://s4stechnologies.com,https://s4stechnologies.com/careers,0.7,direct-path:url-hint,,,,
https://www.corporate.agrostar.in,https://agrostar.darwinbox.in/ms/candidate/careers,0.95,nav-scan:ats-url,,,,
https://bioorgo.com,,0.0,not-found,,,,
https://cupable.in,,0.0,not-found,,,,
https://reckongreen.com,,0.0,not-found,,,,
https://qudrat.co.in,,0.0,not-found,,,,
https://openwater.in,https://openwater.in/#career_section,0.7,nav-scan:url-hint,,,,
https://saahaszerowaste.com,https://saahas.zohorecruit.com/recruit/Portal.na?digest=j@GbK5pmYRXio5XkM29UDHGAUnkE7bVo.a85bxdBEmQ-&iframe=false&mode=home&embedsource=CareerSite,0.9,direct-path:url-hint,,,,
https://carbonminus.com,https://carbonminus.com/careers,0.8,direct-path:url-hint,,,,
https://livnsense.com,,0.0,not-found,,,,
https://fuselage.co.in,,0.0,not-found,,,,
https://www.renew.com,https://www.renew.com/careers,0.8,direct-path:url-hint,,,,
https://studiomacrocosm.com,,0.0,not-found,,,,
https://www.greengrahi.com,https://www.greengrahi.com/career,0.75,nav-scan:url-hint,,,,
https://www.conservecap.com,,0.0,not-found,,,,
https://www.recyclekaro.com,,0.0,not-found,,,,
https://www.metafin.in,,0.0,not-found,,,,
